educstat,city,country,gender,digitools,industry,careerstg,worksame,workcity,salary,typework,sitework,datarole,restofrole,sizeteam,ingestion,transform,warehs,orchest,busint,reversetl,dataqual,datacatalog,cloudplat,noncloudplat,generaltools,whatused,useai,hostedntbk,hardware,depwebsite,depwebres,otherfb,spneeds,volunteer,comms,successmethod,employertype,age_grp
College degree,"Manila, Philippines",Philippines,Male,"Datacamp, Udemy","IT, BPO, and Business Services",Student/ New grad/ Career Break,,,,,,,,,,,Don't know,,,,,,,,"Excel, Google Drive, OneDrive, Zoom, MS Teams, Google Meet, Discord","DAX (Power BI), M language (Power Query), VBA",Chatgpt,,laptop,"Yes, I am aware of the free resources in the DEP website.","Yes, I have used at least one resource.","AI Pilipinas, Data Analytics Philippines, Data Science Philippines, DataScience.PH, Datasense Philippines, DEVCON Philippines, Digital Analytics Philippines, Eskwelabs Data Science Aral-Aral Group, Ph Cyber Geeks, Power BI Philippines UG, Project SPARTA, SPARTA PH: Data Engineer","Continued learning, Upskill / Skill acquisition","Coordinate during events, Joint initiative with other groups, Volunteer for group initiatives","As of now, everything is already great because of the discord and messenger group chats.",,Local employer,20 to 24
College degree,"Quezon City, Philippines",Philippines,Female,"HackerRank, LinkedIn Learning, Youtube bootcamp",Not working,Student/ New grad/ Career Break,,,,,,,,,,,,,,,,,,,"Google sheets, Excel, Google Drive, Zoom, MS Teams, Google Meet, Discord",,,"Colab Notebooks, PythonAnywhere Jupyter Notebook",laptop,"No, I just found out now.",,FTW Foundation,"Career advancement, Continued learning, Upskill / Skill acquisition, Network",Answer surveys,,,,20 to 24
College degree,"Las Pinas, Philippines",Philippines,Female,"LinkedIn Learning, W3Schools, Youtube bootcamp",Process Control Systems ,Career shifter,Work city same as residence,Pasay,"250,001 and above",Contract fixed timeline,Mostly work from home/ fully remote,Analytics Engineer,N.A,11 to 30,"Don't know, None","Don't know, None",Don't know,"Don't know, None",Power BI,,"Don't know, None","Don't know, None",,"Splunk, Don't know","Excel, Zoom, MS Teams, Google Meet",SQL,"Chatgpt, Gemini",,laptop,"No, I just found out now.","No, I just browsed through.","AI Pilipinas, Amagi Academy: Tech Courses and Communities, Analytics Association of the Philippines, Data Analytics Philippines, DEVCON Philippines, FTW Foundation, Manila Women in Machine Learning and Data Science, Power Apps Pilipinas Community, Power BI Philippines UG, Python Philippines, Women Who Code Manila","Career advancement, Continued learning, Decision to shift, Upskill / Skill acquisition, Network",,Assessment Test for Datacamp scholarship,LinkedIn,Multinational employer,30 to 34
Master's degree,"Panay, Philippines",abroad,Prefer not to say,"Coursera, Datacamp, edX, Freecodecamp, Google Analytics, Google Cloudskills Boost, IBM Skills Gateway, Kaggle Online course, Khan Academy, LinkedIn Learning, MicrosoftLearn, Pluralsight, Udemy","IT, BPO, and Business Services",Working in Government,,Lucena City,"85,001 to 95,000",Contract fixed timeline,"Anywhere, as I'm not really being required to go onsite, but I do choose to go onsite during the latter half of my shifts because I wait for my partner to finish her shift - she works also in the same company, but her shift finishes 3hours after mine ends.",QA Engineer,"Management, Data Engineer, Analytics Engineer, Cloud Architect",11 to 30,Random throw away python scripts,"Pandas, Excel","AWS Redshift, Don't know",Dagster,Brandwatch,ACL,Excel,Castor,Microsoft Azure,SAS EG,"Google sheets, Excel, Google Drive, OneDrive, Zoom, Google Meet, Slack","Appscript (Google), SQL",Copilot,"Kaggle Notebooks, Google Cloud Vertex AI Workbench, PythonAnywhere Jupyter Notebook",Laptop and deskptop,"Yes, I am aware of the free resources in the DEP website.",,NASA Space Apps Philippines,"Continued learning, Network",,"If possible, a meetup once every three months. Just a casual meetup to check on one another ",Social Media - I started as an Agent in the company I'm working at and eventually moved up to my current role.,"local employer, au client",<19
Master's degree,"San Fernando City, Philippines ",Philippines,Prefer not to say,"AWS Cloud Certification, Coursera, Datacamp, Git Hub Learning Lab, LinkedIn Learning, MicrosoftLearn, Udemy, W3Schools","IT, BPO, and Business Services",Career shifter,Work city different from residence,Long Island but with a satellite office in Davao City,"125,001 to 250, 000",Freelance,Mostly work from home/ fully remote,Management,"Data Analyst, mostly dealing with data quality issues, being the middleman between Finance and tech, but no technical skills yet",11 to 30,,,,,Power BI,,,,,,"Google sheets, Excel, Dropbox, Google Drive, OneDrive, Zoom, MS Teams, Google Meet, Discord",Python,Chatgpt,,laptop,"Yes, I am aware of the free resources in the DEP website.","No, I just browsed through.",Women Who Code Manila,"Career advancement, Continued learning, Upskill / Skill acquisition","Resource for specific topic, Co-training/ Training, Volunteer to speak in events",,LinkedIn,Multinational employer,
College degree,"Taguig, Philippines",Philippines,Male,Not currently using any digital tools for learning,Own Business/ Consultancy/Freelance,Student/ New grad/ Career Break,,,,,,,,,,,,,,,,,,,"Google sheets, Excel, Google Drive, OneDrive, Zoom, MS Teams, Slack, Discord","Appscript (Google), Javascript, Python, SQL","Chatgpt, Copilot, Gemini, Github copilot",,laptop,"No, I just found out now.","No, I just browsed through.","Artificial Intelligence Philippines, AWS AI/ML, Data Analytics Philippines",,"Answer surveys, Coordinate during events, Volunteer for group initiatives",,,,
College degree,Cagayan de Oro City,Philippines,Male,Youtube bootcamp,Not working,Student/ New grad/ Career Break,,,,,,,,,,,,,,,,,,,"Google sheets, Google Drive, Zoom, MS Teams, Google Meet, Discord","Python, C++, Java",Chatgpt,"Colab Notebooks, PythonAnywhere Jupyter Notebook",laptop,"Yes, I am aware of the free resources in the DEP website.","Yes, I have used at least one resource.","DataScience.PH, DEVCON Philippines, Eskwelabs Data Science Aral-Aral Group, PyData Philippines, Python Philippines","Career advancement, Continued learning, Decision to shift, Upskill / Skill acquisition","Joint initiative with other groups, Mentor, Co-training/ Training, Volunteer for group initiatives, Volunteer to speak in events","More new, up-to-date and interesting facts related posts, vast information dissemination, follow-up posts",,Currently not working as IT,20 to 24
,"Taguig, Philippines",Philippines,Male,"Kaggle Online course, W3Schools","IT, BPO, and Business Services",Professional,Work city same as residence,Taguig,"55,001 to 65,000",Full-time,Hybrid,Analytics Engineer,"Management, Software Engineer, Machine Learning Engineer, AI Engineer, Developer, UI/UX Designer",11 to 30,,,,,Power BI,,,,Google Cloud Platform (GCP),PostgreSQL,"Google sheets, Excel, Google Drive, Zoom, Google Meet","Javascript, Python, SQL",Chatgpt,"Kaggle Notebooks, Colab Notebooks",laptop,"Yes, I am aware of the free resources in the DEP website.","Yes, I have used at least one resource.","Data Science Philippines, DataSpark - Manila Meetups","Career advancement, Upskill / Skill acquisition, Network","Answer surveys, Coordinate during events",,LinkedIn,Local employer,
College degree,"Manila, Philippines",Philippines,Male,Not currently using any digital tools for learning,Education,Student/ New grad/ Career Break,,,,,,,,,,,,,,,,,,,"Excel, Google Drive, OneDrive, MS Teams, Google Meet, Discord","SQL, C++","Chatgpt, Claude",,laptop,"No, I just found out now.","No, I just browsed through.",Project SPARTA,,"Lead a study group, Regularly post content",,,Local employer,40 to 44
College degree,"Cebu City, Philippines",Philippines,Male,"AWS Cloud Certification, Udemy",Freelance,Professional,Work city different from residence,Taguig City,"95,001 to 100,000",Full-time,Hybrid,Data Engineer,Software Engineer,11 to 30,,,Databricks,,,,,,"Amazon Web Services (AWS), Databricks",,"Google sheets, Excel, Google Drive, OneDrive, Zoom, MS Teams, Google Meet","Python, SQL","Chatgpt, Jasper AI",,laptop,"Yes, I am aware of the free resources in the DEP website.","Yes, I have used at least one resource.","[Manila] BIG DATA Tech Group, Project SPARTA, SPARTA PH: Data Engineer","Career advancement, Continued learning, Upskill / Skill acquisition","Answer surveys, Joint initiative with other groups",,"LinkedIn, Indeed",Local employer,35 to 39
College degree,"Malolos, Bulacan",Philippines,Female,"Codecademy, Datacamp",Student,Student/ New grad/ Career Break,,,,,,,,,,,,,"Power BI, SAP Bobj",Postgre,,,,,"Google sheets, Excel, OneDrive, MS Teams, Google Meet","DAX (Power BI), Python, SQL, VBA","Chatgpt, Claude, Copilot, Gemini",PythonAnywhere Jupyter Notebook,laptop,"No, I just found out now.","No, I just browsed through.",Data Analytics Philippines,"Career advancement, Continued learning, Upskill / Skill acquisition, Network","Answer surveys, Connect with sponsors, Joint initiative with other groups, Resource for specific topic, Co-training/ Training, Volunteer for group initiatives","As I have experienced so far being a member of the group it contents posted are very informative and open for other to join into so no, I don't any specific suggestions ",,,20 to 24
College degree,"Victoria, Melbourne",Australia,Male,Linanh-DAP,Not working,IoT Dev,,Clark,,Freelance,Not working,ESL tutor,,6 to 10,"Airbyte, Stitch",Spreadsheet,Databricks,Sql server agent,"Oracle BI, Oracle DV",Postgre,I currently have no knowledge in this,Don't know,"Amazon Web Services (AWS), Google Cloud Platform (GCP), Microsoft Azure, Snowflake, Databricks","Apache Kafka, MongoDB, Oracle Database","Excel, Google Drive, Zoom, Google Meet, Discord","DAX (Power BI), Python, SQL, VBA","Chatgpt, Copilot",IBM Watson Studio,Vm,"No, I just found out now.","Yes, I have used at least one resource.","[Manila] BIG DATA Tech Group, AI Design Philippines, AI Pilipinas, AI Society, AIM-Master of Science in Data Science, DEVCON Community Group, DEVCON Philippines, Programmers,Developers, Python Philippines","Career advancement, Continued learning, Upskill / Skill acquisition, Network","Answer surveys, Joint initiative with other groups",Add an AI-generated response (faq) on social media platform,"Indeed, OnlineJobs.ph",BPO in my previous multinational employer,40 to 44
Other - specify,"Manila, Philippines",Philippines,Male,Datacamp,Undergraduate Student,Student/ New grad/ Career Break,,,,,,,,,,,RDBS MySQL/MsSQL,,,,,,Databricks,,"Google sheets, Excel, Google Drive, Google Meet, Discord",,"Chatgpt, Gemini",PythonAnywhere Jupyter Notebook,laptop,"Yes, I am aware of the free resources in the DEP website.","No, I just browsed through.",,,Answer surveys,"As of now, none",,Undergraduate Student,25 to 29
College degree,General Santos City,Philippines,Male,"Freecodecamp, W3Schools, Youtube bootcamp",Retail,Student/ New grad/ Career Break,,,,,,,,,,,,,,,,,,,"Google sheets, Excel, Google Drive, Zoom, MS Teams, Google Meet, Discord","Python, SQL",Chatgpt,PythonAnywhere Jupyter Notebook,laptop,"No, I just found out now.","No, I just browsed through.","Azure User Group Manila Meetup, Data Analytics Philippines, Data and Analytics Manila, DevOps Philippines, DEVCON Community Group, DEVCON Philippines, Eskwelabs Data Science Aral-Aral Group, Python Philippines",Upskill / Skill acquisition,Answer surveys,,,Local employer,25 to 29
College degree,"Paranaque, Philippines",Philippines,Male,Youtube bootcamp,"IT, BPO, and Business Services",Career shifter,Work city same as residence,"Los Banos, Laguna, philippines","45,001 to 55, 000",Full-time,100% onsite,Technical Support ,Business Analyst,4 to 5,"Don't know, None","Don't know, None",,,Power BI,,,,,,"Google sheets, Excel, Google Drive, MS Teams","Javascript, Python, SQL, Typescript","Chatgpt, Gemini, Github copilot",,laptop,"No, I just found out now.",,"Data Analytics Philippines, Python Philippines","Career advancement, Continued learning, Decision to shift, Upskill / Skill acquisition, Network",,,LinkedIn,Local employer,25 to 29
College degree,"Cavite, Philippines",Philippines,Male,"Datacamp, MicrosoftLearn",Not working,Career shifter,Work city different from residence,Mandaluyong city,"25,001 to 35,000",Full-time,100% onsite,Admin huhu,"Business Analyst, Developer",2 to 3,,Pandas,,,,,,,,,"Google sheets, Excel, Google Drive, Zoom, Google Meet",,Chatgpt,"Kaggle Notebooks, Colab Notebooks, IBM Watson Studio",laptop,"Yes, I am aware of the free resources in the DEP website.","No, I just browsed through.",,"Career advancement, Continued learning, Decision to shift, Upskill / Skill acquisition, Network",Answer surveys,,"LinkedIn, My network  - people I know",Local employer,
Master's degree,Batangas,Philippines,Male,Coursera,Energy,Student/ New grad/ Career Break,,,,,,,,,,,,,,,,,,,"Google sheets, Google Drive, Discord","Python, R, SQL","Chatgpt, Gemini",Colab Notebooks,desktop,"No, I just found out now.","No, I just browsed through.","Data Science Philippines, Philippine Data Scientists Community - eScience, FWDP","Career advancement, Continued learning, Decision to shift, Upskill / Skill acquisition, Network","Answer surveys, Volunteer to speak in events",No.,,Local employer,25 to 29
College degree,"Bulacan, Philippines",Philippines,Male,"Codecademy, Coursera, Datacamp, edX, MicrosoftLearn","IT, BPO, and Business Services",Student/ New grad/ Career Break,,,,,,,,,,,,,,,,,,,"Google sheets, Excel, Google Drive, OneDrive, Trello, Zoom, Google Meet, Discord",None right now.,"Chatgpt, Copilot, Gemini",Replit,laptop,"Yes, I am aware of the free resources in the DEP website.","No, I just browsed through.","Community: SPARTA PH, Data Analytics Philippines, Datasense Philippines, Project SPARTA","Career advancement, Continued learning, Decision to shift, Upskill / Skill acquisition, Network",,,,Local employer,20 to 24
College degree,"Bulacan, Philippines",Philippines,Male,"Datacamp, Google Cloudskills Boost","IT, BPO, and Business Services",Professional,Work city same as residence,"Las Pinas City, Philippines","15,000 and below",Full-time,100% onsite,Planning,Data Analyst,6 to 10,,,Big Query,,,,,,Don't know,,"Google sheets, Excel, Dropbox, Google Drive, OneDrive, Zoom, MS Teams, Google Meet, Discord","Appscript (Google), Javascript, Python, SQL","No, I do not use AI currently",,laptop,"Yes, I am aware of the free resources in the DEP website.","Yes, I have used at least one resource.",Data Science Philippines Discussion Group (Moderated),,"Answer surveys, Connect with sponsors, Coordinate during events, Volunteer to speak in events",,LinkedIn,Multinational employer,30 to 34
College degree,"Cairo, Egypt",Egypt,Male,Datacamp,Not working,Student/ New grad/ Career Break,,,,,,,,,,,SQL,"Airflow, Daasity",Microsoft Office ,"Spark, Python",Databand,Castor,Databricks,"Oracle Database, Cloudera","Google sheets, Excel, Google Drive, OneDrive, Zoom, MS Teams, Google Meet, Discord","Python, SQL","No, I do not use AI currently",,Both desktop and laptop,"Yes, I am aware of the free resources in the DEP website.",,"Big Data Analytics PH, Data Analytics Philippines, Datasense Philippines, Digital Analytics Philippines, Eskwelabs Data Science Aral-Aral Group, Project SPARTA",Upskill / Skill acquisition,"Answer surveys, Coordinate during events, Joint initiative with other groups, Volunteer for group initiatives",,,,20 to 24
College degree,"Bulacan, Philippines",Philippines,Female,"Codecademy, Udemy",Telecommunication,Student/ New grad/ Career Break,,,,,,,,,,,,,,,,,,,"Google sheets, Excel, Google Drive, Trello, MS Teams, Google Meet",Python,"Chatgpt, Claude, Copilot","Kaggle Notebooks, Colab Notebooks",laptop,"Yes, I am aware of the free resources in the DEP website.","Yes, I have used at least one resource.","Data Science Manila, Data Science Philippines, Datasense Philippines, FTW Foundation, Power BI Philippines UG, PyData Philippines","Career advancement, Upskill / Skill acquisition","Answer surveys, Regularly post content",No for now,,Local employer,20 to 24
College degree,"Paranaque, Philippines",Philippines,Female,"Cisco, Datacamp, Freecodecamp, Youtube bootcamp",Engineering ,Professional,Work city same as residence,N.A,"15,001 to 25,000",Full-time,Mostly work from home/ fully remote,Data Analyst,"Developer, Academic",4 to 5,Don't know,Don't know,Snowflake,Don't know,"Looker, Power BI, Tableau",Don't know,Don't know,Don't know,"Microsoft Azure, Snowflake",Don't know,"Google sheets, Excel, Dropbox, Google Drive, Trello, Zoom, MS Teams, Google Meet, Slack","DAX (Power BI), SQL, VBA",,PythonAnywhere Jupyter Notebook,workstation,"Yes, I am aware of the free resources in the DEP website.","Yes, I have used at least one resource.",Python Philippines,Upskill / Skill acquisition,,,"LinkedIn, Jobstreet",Local employer,30 to 34
College degree,"Caloocan, Philippines",Philippines,Female,"Freecodecamp, Google Developers, MicrosoftLearn, Real Python, Udemy, Youtube bootcamp, Springboard, Uniathena, and web.dev","IT, BPO, and Business Services",Career shifter,Work city different from residence,Makati,"45,001 to 55, 000",Full-time,Mostly work from home/ fully remote,,"Software Engineer, Analytics Engineer, Machine Learning Engineer, AI Engineer",4 to 5,,Power Query,AWS Redshift,Airflow,,,,,"Amazon Web Services (AWS), Microsoft Azure",,"Google sheets, Google Drive, Google Meet, Slack, Jira, Confluence",Python,,"Kaggle Notebooks, Colab Notebooks",desktop,"Yes, I am aware of the free resources in the DEP website.","No, I just browsed through.","Analytics Association of the Philippines, Community: SPARTA PH, DEVCON Community Group, DEVCON Philippines, Project SPARTA","Career advancement, Continued learning, Decision to shift, Upskill / Skill acquisition, Network","Answer surveys, Mentor, Co-training/ Training",,"LinkedIn, Indeed",Multinational employer,25 to 29
College degree,"Iloilo City, Philippines",Philippines,Female,"AWS Cloud Certification, Git Hub Learning Lab, IBM Skills Gateway, Kaggle Online course, LeetCode, LinkedIn Learning, MicrosoftLearn, W3Schools",Currently Club volunteer,Professional,Work city same as residence,Baguio City,"15,001 to 25,000",Full-time,100% onsite,Business Analyst,Data Analyst,6 to 10,,,Snowflake,,"Power BI, Tableau, SQL Server Reporting Services (SSRS)",,,,Snowflake,,"Google sheets, Excel, Google Drive, Zoom, MS Teams, Google Meet, Discord",,Copilot,,laptop,"No, I just found out now.",,,"Career advancement, Continued learning, Upskill / Skill acquisition, Network","Answer surveys, Connect with sponsors, Coordinate during events, Joint initiative with other groups, Lead a study group, Mentor, Regularly post content, Resource for specific topic, Co-training/ Training, Volunteer for group initiatives, Volunteer to speak in events",,,Local employer,25 to 29
College degree,"Sta. Maria, Bulacan",Philippines,Female,"Coursera, Datacamp, Google Analytics, Oracle University","IT, BPO, and Business Services",Career shifter,Work city different from residence,Pasay City,"95,001 to 100,000",Full-time,Hybrid,Software Engineer,Digital Marketing ,1 - Just me,,Dataflows/Power Query,,,,,,,Microsoft Azure,,"Google sheets, Excel, Google Drive, OneDrive, Discord","DAX (Power BI), Python, SQL, VBA","Chatgpt, Copilot","Kaggle Notebooks, Colab Notebooks",laptop,"Yes, I am aware of the free resources in the DEP website.","Yes, I have used at least one resource.","AI Pilipinas, Analytics Association of the Philippines, Artificial Intelligence Philippines, Azure User Group Manila Meetup, Community: SPARTA PH, Data Analytics Philippines, DEVCON Philippines, Power BI Philippines UG, R User Group - Philippines","Career advancement, Upskill / Skill acquisition",,,LinkedIn,Multinational employer,35 to 39
College degree,"Mandaluyong, Philippines",Philippines,Female,MicrosoftLearn,Not working,Student/ New grad/ Career Break,,,,,,,,,,,,,,,,,,,"Google sheets, Excel, Google Drive, Zoom, MS Teams, Google Meet, Discord",Python,"Chatgpt, Gemini, Github copilot",,laptop,"No, I just found out now.","No, I just browsed through.",,"Continued learning, Upskill / Skill acquisition","Answer surveys, Joint initiative with other groups, Volunteer to speak in events",,,,30 to 34
College degree,"Pasay City, Philippines",Philippines,Male,"Coursera, Datacamp","IT, BPO, and Business Services",Career shifter,Work city same as residence,"Tarlac City, Tarlac","55,001 to 65,000",Full-time,Hybrid,Data Engineer,"Data Analyst, Applplication Specialist/QA/Technical Support",1 - Just me,,Pandas,,,"Power BI, Tableau",,,,Amazon Web Services (AWS),"MongoDB, PostgreSQL","Google sheets, Excel, Google Drive, OneDrive, MS Teams, Google Meet, Discord",,Chatgpt,,desktop,"Yes, I am aware of the free resources in the DEP website.","Yes, I have used at least one resource.","Community: SPARTA PH, Data Analytics Philippines","Career advancement, Continued learning, Upskill / Skill acquisition","Answer surveys, Coordinate during events, Volunteer for group initiatives",,LinkedIn,Local employer,35 to 39
Master's degree,"Caloocan, Philippines",Philippines,Male,"Datacamp, edX",Logistics,Career shifter,Work city different from residence,East Melbourne,"15,001 to 25,000",Full-time,"Anywhere, as I'm not really being required to go onsite, but I do choose to go onsite during the latter half of my shifts because I wait for my partner to finish her shift - she works also in the same company, but her shift finishes 3hours after mine ends.",Reports Analyst - mainly maintaining and developing Power BI and Excel-based reports.,"Management, Data Engineer, Data Analyst, Developer",2 to 3,,,,,,,,,,PostgreSQL,"Excel, OneDrive, MS Teams, Slack","Python, SQL",Chatgpt,,laptop,"Yes, I am aware of the free resources in the DEP website.","No, I just browsed through.","Community: SPARTA PH, SPARTA PH: Data Engineer","Career advancement, Continued learning, Decision to shift, Upskill / Skill acquisition, Network","Answer surveys, Coordinate during events, Volunteer for group initiatives",Frequent meetups in multiple locations so that it will be accessible to more users who want to connect,Social Media - I started as an Agent in the company I'm working at and eventually moved up to my current role.,Multinational employer,35 to 39
College degree,"Caloocan, Philippines",Philippines,Male,"Datacamp, Youtube bootcamp, different projects on youtube",Public Policy Research,Student/ New grad/ Career Break,,,,,,,,,,,,,,,,,,,"Excel, Google Drive, Zoom","Appscript (Google), Javascript, Python, SQL",,PythonAnywhere Jupyter Notebook,desktop,"Yes, I am aware of the free resources in the DEP website.","No, I just browsed through.",Project SPARTA,"Career advancement, Continued learning, Upskill / Skill acquisition","Answer surveys, Coordinate during events, Volunteer for group initiatives",,,Multinational employer,20 to 24
College degree,Bacolod,Philippines,Male,"Coursera, Datacamp","IT, BPO, and Business Services",Career shifter,Work city same as residence,Taguig,"25,001 to 35,000",Contract fixed timeline,Mostly work from home/ fully remote,Management,"Data Scientist, Business Analyst",11 to 30,"Don't know, None","Don't know, None","Don't know, None","Don't know, None","Don't know, None","Don't know, None","Don't know, None","Don't know, None","Don't know, None","Don't know, None","Google sheets, Excel, Google Drive, Slack, Zapier","JASP, JAMOVI","No, I do not use AI currently",,laptop,"Yes, I am aware of the free resources in the DEP website.","No, I just browsed through.","Big Data Analytics PH, Data Analytics Philippines","Career advancement, Upskill / Skill acquisition","Answer surveys, Connect with sponsors, Coordinate during events, Joint initiative with other groups",Hold quarterly or annual data/tech webinar fest,LinkedIn,Multinational employer,30 to 34
College degree,"Caloocan, Philippines",Philippines,Male,Not currently using any digital tools for learning,Healthcare,Career shifter,Work city different from residence,Makati,"15,000 and below",Full-time,100% onsite,Network admin,"Data Analyst, HR Technical Recruiter",1 - Just me,,,,,Power BI,,,,,,"Google sheets, Excel, Zoom, MS Teams, Google Meet, Discord",,"Chatgpt, Gemini",,laptop,"No, I just found out now.","No, I just browsed through.","Programmers,Developers","Continued learning, Upskill / Skill acquisition","Resource for specific topic, Co-training/ Training",,Indeed,Local employer,20 to 24
College degree,"Cotabato City, Philippines",Philippines,Female,Not currently using any digital tools for learning,"IT, BPO, and Business Services",Freelance,Work city different from residence,"Missouri, USA","15,000 and below",Freelance,Mostly work from home/ fully remote,Data Engineer,Unemployed,1 - Just me,,,,,"Power BI, Tableau",,,,,,"Google sheets, Excel, Google Drive, OneDrive, Zoom, MS Teams, Slack, Discord",,"No, I do not use AI currently","Colab Notebooks, PythonAnywhere Jupyter Notebook",laptop,"Yes, I am aware of the free resources in the DEP website.","No, I just browsed through.","AIM-Master of Science in Data Science, Power BI Philippines UG","Career advancement, Continued learning, Decision to shift, Upskill / Skill acquisition, Network",knowledge sharing,,I am still yet to try these job networking sites.,Multinational employer,25 to 29
College degree,"Caloocan, Philippines",Philippines,Male,"Datacamp, Udemy, W3Schools","IT, BPO, and Business Services",Professional,Work city different from residence,Ortigas Mandaluyong,"100,001 to 125,000",Full-time,Mostly work from home/ fully remote,Management,Analytics Engineer,4 to 5,,"Pandas, dbt",Postgre,,Power BI,,dbt,,Amazon Web Services (AWS),"PostgreSQL, Oracle Database","Google sheets, Excel, Google Drive, Monday.com, Google Meet, Slack, Discord",M language (Power Query),Chatgpt,,laptop,"Yes, I am aware of the free resources in the DEP website.","Yes, I have used at least one resource.","Data Science Philippines, Datasense Philippines, PyData Philippines","Career advancement, Continued learning, Upskill / Skill acquisition",Mentor,None so far,"LinkedIn, My network  - people I know",Multinational employer,25 to 29
College degree,"Batangas, Philippines",Philippines,Male,"Coursera, Datacamp, Udemy",Currently Club volunteer,Career shifter,Work city different from residence,Makati,"25,001 to 35,000",Full-time,100% onsite,Network / VoIP Administrator,Academic,4 to 5,,"Pandas, Spark",,,,,,,,,"Google sheets, Excel, Google Drive, OneDrive, Zoom, Google Meet, Discord",Python,"Chatgpt, Copilot, Gemini, Github copilot","Colab Notebooks, Google Cloud Vertex AI Workbench, Databricks Collaborative Notebooks",Phone,"Yes, I am aware of the free resources in the DEP website.","Yes, I have used at least one resource.","Data Analytics Philippines, Power Apps Pilipinas Community, Power BI Philippines UG","Continued learning, Upskill / Skill acquisition, Network","Answer surveys, Connect with sponsors, Joint initiative with other groups, Co-training/ Training","Encourage active and regular participation in FB and Discord, have initiatives to welcome people into the conversations.",LinkedIn,Local employer,25 to 29
College degree,"Bukit Batok, Singapore",Singapore,LGBTQ+,"Coursera, edX, Google Analytics, Google Cloudskills Boost, Khan Academy, Udemy, W3Schools",Freelance,Freelance but going back to employee,,LUGAIT MISor,"25,001 to 35,000",Part-time,Unemployed as of the moment,General Service ,"Data Analyst, Data Scientist",30+,Meltano,"Pandas, ","Azure Synapse, Databricks",Just airbyte,Quicksight,"None, IBM Websphere Cast Iton",Monte Carlo Data,AWS Glue Data Catalog,"Amazon Web Services (AWS), Google Cloud Platform (GCP), Snowflake","Apache Spark, Apache Kafka, PostgreSQL, Elasticsearch","Google sheets, Excel, Google Drive, Zoom, MS Teams, Google Meet, Discord","DAX (Power BI), M language (Power Query), Python","Chatgpt, Copilot","Kaggle Notebooks, Colab Notebooks, PythonAnywhere Jupyter Notebook, Replit",DESKTOP AND LAPTOP,"Yes, I am aware of the free resources in the DEP website.",,,"Career advancement, Continued learning, Upskill / Skill acquisition","Answer surveys, Lead a study group, Co-training/ Training, Volunteer for group initiatives",Try to enhance the technical skills as much as possible ,Toptal,National Government Agency ,30 to 34
College degree,"Malolos,Bulacan",Philippines,Male,"Datacamp, Youtube bootcamp",Own Business/ Consultancy/Freelance,Professional,Work city different from residence,Quezon City,"55,001 to 65,000",Full-time,Hybrid,Business Analyst,"Data Scientist, Business Analyst, Developer",2 to 3,,,,Airflow,Power BI,,,,,,"Google sheets, Excel, Zoom, MS Teams, Google Meet, Discord","Javascript, Python","Chatgpt, Gemini",,laptop,"Yes, I am aware of the free resources in the DEP website.","Yes, I have used at least one resource.",Data Science Philippines,"Continued learning, Network, Potential future mentoring opportunities ",Answer surveys,Expand the communications through school visits to those who are interested regarding Data Engineering. ,My network  - people I know,Local employer,25 to 29
College degree,Cavite,Philippines,Male,"Coursera, Datacamp, LeetCode",Not working,Student/ New grad/ Career Break,,,,,,,,,,,,,,,,,,,"Google sheets, Excel, Google Drive, OneDrive, MS Teams, Google Meet, Discord","DAX (Power BI), M language (Power Query), SQL",Chatgpt,,desktop,"No, I just found out now.","No, I just browsed through.",Data Analytics Philippines,Upskill / Skill acquisition,"Answer surveys, Volunteer for group initiatives",,,,
College degree,Laguna,Philippines,Male,Coursera,Not working,Student/ New grad/ Career Break,,,,,,,,,,,,,,,,,,,"Google sheets, Excel, Google Drive, OneDrive, Clickup, Zoom, MS Teams, Google Meet, Slack, Discord","Python, SQL","Databricks assistant, Company Chat AI",Kaggle Notebooks,desktop,"Yes, I am aware of the free resources in the DEP website.","No, I just browsed through.","Analytics for Pinoys, Data Analytics Philippines, Datasense Philippines","Career advancement, Upskill / Skill acquisition, Network","Answer surveys, Joint initiative with other groups, Co-training/ Training, Volunteer for group initiatives",Currently don't have any for now,,,20 to 24
College degree,"Manila, Philippines",Philippines,Male,"Freecodecamp, MicrosoftLearn, Oracle University, Udemy, W3Schools",Telecommunication,Upskilling,Work city different from residence,Melbourne,"15,000 and below",Full-time,100% onsite,Management,Business Analyst,2 to 3,,,,,,,,,,"MongoDB, PostgreSQL, Oracle Database","Google sheets, Excel, Google Drive, OneDrive, Zoom, MS Teams, Google Meet",,"No, I do not use AI currently","PythonAnywhere Jupyter Notebook, DataCamp's Datalab",laptop,"No, I just found out now.",,"Analytics Association of the Philippines, Community: SPARTA PH, Data Science Philippines, Python Philippines","Career advancement, Continued learning, Upskill / Skill acquisition","Answer surveys, Connect with sponsors, Coordinate during events, Joint initiative with other groups, Regularly post content, Volunteer for group initiatives, Volunteer to speak in events",,My network  - people I know,Local employer,30 to 34
