Latest education status,"City of Residence, current","Country of Residence, current",Gender,Choose the digital tools you are currently using for learning:,Industry that you are currently in:,Current stage of DATA CAREER,Is your work city the same as your city of residence?,Work location - specify city,Monthly Salary Range (Or monthly income from main source),Type of work,Work set-up,What best describes MAJORITY of your day-to-day role?,What other descriptions comprise the REST of your role? (Click all that apply),What is the size of your Data Team?,What are the data INGESTION tools you currently use? (Optional),What are the data TRANSFORMATION tools you currently use?  (Optional),What are the data WAREHOUSES you currently use?   (Optional),What are the data ORCHESTRATION tools you currently use?   (Optional),What are the BUSINESS INTELLIGENCE tools you currently use?  (Optional),What are the REVERSE ETL tools you currently use?   (Optional),What are the DATA QUALITY tools you currently use? (Optional),What are the DATA CATALOGS you currently use?   (Optional),What are the cloud platforms that you currently use?    (Optional),What are the non-cloud platforms that you currently use?  (Optional),Which of the following general tools do you use? Choose all that apply.,Which of the following do you use on a regular basis? Choose all that apply.,Do you currently use AI in your workflow or study? Choose all that apply.,Do you use any of the following hosted notebook products?,What hardware do you currently use for data?,Whether or not aware of the free resources in the DEP website,"If aware of the free resources, have you used at least one of the resources in the DEP website?","Thinking of data-related communities, what other Facebook communities do you follow?",Any specific needs you are trying to address by joining DEP Facebook group?,"Any specific tasks, skills, knowledge or resources you are willing to contribute to the group?","Thinking of ways to improve communications in the group, do you have any suggestions?","Thinking of your most recent job, which platform or method gave you the most success?",Type of employer,Age
College degree,"Bulacan, Philippines",Philippines,Male,"Cisco, Coursera, MicrosoftLearn, Real Python, SoloLearn, Udemy",Not working,Career shifter,Work city different from residence,"Harare, Zimbabwe","45,001 to 55, 000",Full-time,100% onsite,Data Processing Associate,Data Engineer,1 - Just me,NONE,.,NONE,na,_, , , ,NONE, ,"Excel, OneDrive, Trello, Zoom, MS Teams, Google Meet, Discord","Javascript, SQL",Chatgpt,none,laptop,"Yes, I am aware of the free resources in the DEP website.","No, I just browsed through.","Project SPARTA, Python Philippines","Continued learning, Upskill / Skill acquisition","Answer surveys, Connect with sponsors, Coordinate during events",None,Indeed,Local employer,28
College degree,"Antipolo, Philippines",Philippines,Female,"AWS Cloud Certification, Datacamp, Freecodecamp, Udemy",Not working,Student/ New grad/ Career Break,NA,_,,  ,na, ,na,N/A,_,.,Don't know,None,"Power BI, Excel",ACL,Don't know,Don't know,"Microsoft Azure, Snowflake, Databricks",Oracle Database,"Google sheets, Excel, Google Drive, Trello, MS Teams, Google Meet","Appscript (Google), DAX (Power BI), M language (Power Query), SQL, VBA","Chatgpt, Copilot",One Note,laptop,"No, I just found out now.","No, I just browsed through.",NONE,"Career advancement, Continued learning, Decision to shift, Upskill / Skill acquisition, Network","Answer surveys, Connect with sponsors, Coordinate during events, Joint initiative with other groups, Lead a study group, Mentor, Regularly post content, Resource for specific topic, Co-training/ Training, Volunteer for group initiatives, Volunteer to speak in events",NA,., ,20
Other - specify,"Quezon City, Philippines",Philippines,Female,"SoloLearn, Udemy",Not working,Student/ New grad/ Career Break,N/A,.,,None, ,N/A,None, ,N/A,NA,na,  ,_, ,.,.,.,None,"Google sheets, Excel, Google Drive, Zoom, MS Teams, Google Meet, Discord",SQL,"Chatgpt, Copilot, Gemini, Github copilot",.,laptop,"Yes, I am aware of the free resources in the DEP website.","Yes, I have used at least one resource.",.,Career advancement,"Answer surveys, Connect with sponsors, Lead a study group, Co-training/ Training",Currently not for now,  , ,23
College degree,"Pampanga, Philippines",Philippines,Male,"Cisco, Coursera, Udemy","IT, BPO, and Business Services",Student/ New grad/ Career Break, ,NA,,none,none,None,na,na,N/A,  ,., ,.,.,_,none,  ,_,"Google sheets, Excel, Google Drive, OneDrive, Zoom, MS Teams, Google Meet, Slack, Discord",Javascript,"No, I do not use AI currently",Colab Notebooks,desktop,"No, I just found out now.","Yes, I have used at least one resource.","DataScience.PH, Power BI Philippines UG",Career advancement,Answer surveys,none,na,Local employer,23
College degree,"Pasig, Philippines",Philippines,Male,"Cisco, Coursera, Datacamp, Git Hub Learning Lab, MicrosoftLearn",Student,Student/ New grad/ Career Break,None,None,,N/A,NONE,none, ,  ,  ,  ,_,  ,None,.,N/A,  , ,NONE,none,"Appscript (Google), Python, SQL","Chatgpt, Copilot",_,desktop,"No, I just found out now.","No, I just browsed through.","Data Analytics Philippines, Datasense Philippines, Power BI Philippines UG",Network,Answer surveys,none,  ,NA,20
College degree,Cavite,Philippines,Male,"Codecademy, Datacamp, Freecodecamp, Google Developers, LinkedIn Learning, MicrosoftLearn, SoloLearn","IT, BPO, and Business Services",Professional,Work city different from residence,Makati,"45,001 to 55, 000",Full-time,Mostly work from home/ fully remote,Previously in management. Currently in content production.,"Software Engineer, Analytics Engineer, Machine Learning Engineer, AI Engineer",1 - Just me,Don't know,Don't know,Databricks,Don't know,Tableau,Don't know,Don't know,Don't know,"Microsoft Azure, Databricks",Don't know, ,"Python, SQL","Chatgpt, Copilot","Amazon Sagemaker Studio, Amazon Sagemaker Studio Lab",laptop,"Yes, I am aware of the free resources in the DEP website.","Yes, I have used at least one resource.","Data Analytics Philippines, Data Science Philippines, DataScience.PH, Datasense Philippines, Power Apps Pilipinas Community, Power BI Philippines UG","Career advancement, Continued learning, Upskill / Skill acquisition, Network",Answer surveys,None so far,Headhunter,Multinational employer,30
College degree,"Bulacan, Philippines",Philippines,Male,Cisco,Healthcare,Student/ New grad/ Career Break,NONE,NONE,, ,NONE,none,NONE,N/A,None,none,Don't know,Don't know,N/A,_,na,NA,"Microsoft Azure, I believe our corp utilizes this, but for my role alone, I don't use it as much (to my knowledge)",none,"Google sheets, Dropbox, Google Drive, OneDrive, Asana, Zoom, MS Teams, Google Meet, Slack, Discord","Python, R, SQL",_,.,desktop,"Yes, I am aware of the free resources in the DEP website.","No, I just browsed through.","AIM-Master of Science in Data Science, Data Analytics Philippines, Data Science Manila, Data Science Philippines, Data Science Philippines Discussion Group (Moderated), MS in Data Science - AIM Group","Career advancement, Continued learning, Upskill / Skill acquisition","Answer surveys, Volunteer for group initiatives",Week seminars or interview sessions,_,Local employer,31
College degree,Angono,Philippines,Male,"Coursera, Datacamp, MicrosoftLearn",Retail,Professional,Work city same as residence,Quezon City,"15,001 to 25,000",Full-time,100% onsite,Academic,"Management, Data Engineer, Data Analyst, Business Analyst, Product Advocate",1 - Just me,na,Pandas,N/A,N/A,Power BI,none,NA,.,None,none,"Google sheets, Excel, Dropbox, Google Drive, Google Meet","DAX (Power BI), M language (Power Query), SQL",None,"Azure Notebooks, PythonAnywhere Jupyter Notebook",laptop,"Yes, I am aware of the free resources in the DEP website.","No, I just browsed through.","Big Data Analytics PH, Data Analytics Philippines, Data Science Philippines, Data Science World - R & Python Free Courses, Datasense Philippines, R User Group - Philippines","Continued learning, Upskill / Skill acquisition","Answer surveys, Joint initiative with other groups, Volunteer for group initiatives",none,Indeed,Local employer,27
Other - specify,"Isabela, Philippines ",Philippines,Male,"Codecademy, Coursera, Datacamp, edX, Git Hub Learning Lab, HackerRank, Khan Academy, MicrosoftLearn, Udemy, W3Schools",Electronics,Career shifter,Work city same as residence,bohol,"35,001 to 45,000",Full-time,Hybrid,Data Analyst,"Data Engineer, Data Analyst, Data Scientist, Business Analyst",6 to 10,NA, ,_,N/A, ,NA,.,NONE,Google Cloud Platform (GCP), ,"Google sheets, Excel, Google Drive, Zoom, MS Teams, Google Meet, Discord","DAX (Power BI), M language (Power Query)","Chatgpt, Copilot, Gemini",_,laptop,"Yes, I am aware of the free resources in the DEP website.","Yes, I have used at least one resource.","AI Design Philippines, AIM-Master of Science in Data Science","Continued learning, Upskill / Skill acquisition","Answer surveys, Coordinate during events, Volunteer for group initiatives",NONE,LinkedIn,Multinational employer,38
College degree,Negros Oriental,Philippines,Male,Cisco,Not working,Career shifter,Work city same as residence,"Naga City, Philippines","25,001 to 35,000",Contract fixed timeline,100% onsite,Data Scientist,Academic,1 - Just me,N/A, ,NONE,N/A,"Don't know, None",N/A,.,_,NA,_,"Excel, OneDrive, MS Teams, Slack","DAX (Power BI), Python, SQL","Chatgpt, Claude, Gemini, Github copilot",.,laptop,"No, I just found out now.","No, I just browsed through.","AWS AI/ML, Python Philippines","Career advancement, Continued learning, Upskill / Skill acquisition","Answer surveys, Connect with sponsors",Streamlined and organized level of information dessimination,My network  - people I know,N/A,28
College degree,Las Pinas ,Philippines,Male,Datacamp,"IT, BPO, and Business Services",Student/ New grad/ Career Break,.,NA,,_,None,  ,  ,  ,NONE,NONE,na,na,NONE,none,None,_,NONE,N/A,"Excel, Google Drive, MS Teams, Google Meet, Discord","Python, SQL","Copilot, Gemini","Databricks Collaborative Notebooks, PythonAnywhere Jupyter Notebook",laptop,"Yes, I am aware of the free resources in the DEP website.","Yes, I have used at least one resource.",  ,"Career advancement, Decision to shift, Upskill / Skill acquisition",_,"As an introvert, I sometimes stay at home and, when I am outside, I simply listen to people if they do not ask me.",  ,Local employer,50
Secondary school student,"Makati, Philippines",Philippines,Male,"Datacamp, Udemy, W3Schools","IT, BPO, and Business Services",Career shifter,Work city same as residence,Santa Maria Bulacan,"25,001 to 35,000",Full-time,Mostly work from home/ fully remote,trader,Geographic Information System Engineer,2 to 3,Don't know,Don't know,None,NONE,Power BI,.,_,NONE,Microsoft ,.,"Google sheets, Excel, Google Drive, Google Meet","Python, SQL",Chatgpt,"Colab Notebooks, PythonAnywhere Jupyter Notebook",desktop,"Yes, I am aware of the free resources in the DEP website.","No, I just browsed through.","Analytics Association of the Philippines, Analytics for Pinoys, AWS AI/ML, Data Analytics Philippines, Datasense Philippines, DevOps Philippines, DEVCON Community Group, DEVCON Philippines, Eskwelabs Data Science Aral-Aral Group, Power BI Philippines UG, Power BI Users Meetup, Python Philippines",Continued learning,Answer surveys,"Looks like everyone are mostly in FB anyway, I guess we just continue to proactively engage the community via the FB group for now. ",LinkedIn,"Foreign Employer, Direct Hire",42
College degree,"Taguig, Philippines",Philippines,Male,Datacamp,Not working,Student/ New grad/ Career Break,N/A, ,, ,none,  ,na,None,NONE,., ,_,NA,  ,_,N/A,NONE,N/A,"Google sheets, Excel, Google Drive, OneDrive, Zoom, MS Teams, Google Meet",Python,NONE,NONE,laptop,"Yes, I am aware of the free resources in the DEP website.","No, I just browsed through.",PizzaPy - Cebu Python Users Group,"Career advancement, Continued learning, Upskill / Skill acquisition, Network",Answer surveys,Mentoring and free Certifications,  ,Student ,23
Secondary school student,"Iloio City, Philippines",Philippines,Male,Not currently using any digital tools for learning,Not working,Student/ New grad/ Career Break,NA,NONE,, , ,.,N/A,NONE,na,_,NA, ,  ,none,_,na,None,.,"Google sheets, Excel, Google Drive, Zoom, Google Meet, Discord","DAX (Power BI), Python, R, Scala, SQL, VBA","Chatgpt, Claude, Gemini, Perplexity, Github copilot",Azure Notebooks,laptop,"No, I just found out now.","No, I just browsed through.","Data Science Philippines, Datasense Philippines, PyData Philippines","Career advancement, Continued learning, Decision to shift, Upskill / Skill acquisition","Answer surveys, Connect with sponsors, Coordinate during events, Joint initiative with other groups, Lead a study group, Co-training/ Training, Volunteer for group initiatives, Volunteer to speak in events","By reaching out to them first and start a small conversation like question answer portion, so that their will be an interactive communication.",None,na,20
College degree,"Manila, Philippines",Philippines,Male,"Datacamp, Udemy","IT, BPO, and Business Services",Student/ New grad/ Career Break,  ,NONE,,  , ,NA,_,  ,NA,None,Don't know,NA, ,NONE,None,.,_,_,"Excel, Google Drive, OneDrive, Zoom, MS Teams, Google Meet, Discord","DAX (Power BI), M language (Power Query), VBA",Chatgpt,.,laptop,"Yes, I am aware of the free resources in the DEP website.","Yes, I have used at least one resource.","AI Pilipinas, Data Analytics Philippines, Data Science Philippines, DataScience.PH, Datasense Philippines, DEVCON Philippines, Digital Analytics Philippines, Eskwelabs Data Science Aral-Aral Group, Ph Cyber Geeks, Power BI Philippines UG, Project SPARTA, SPARTA PH: Data Engineer","Continued learning, Upskill / Skill acquisition","Coordinate during events, Joint initiative with other groups, Volunteer for group initiatives","As of now, everything is already great because of the discord and messenger group chats.",NONE,Local employer,21
College degree,"Quezon City, Philippines",Philippines,Female,"HackerRank, LinkedIn Learning, Youtube bootcamp",Not working,Student/ New grad/ Career Break,.,  ,,.,.,none, , ,none,na,_,.,NA, ,na, ,na,None,"Google sheets, Excel, Google Drive, Zoom, MS Teams, Google Meet, Discord",NONE,None,"Colab Notebooks, PythonAnywhere Jupyter Notebook",laptop,"No, I just found out now.",N/A,FTW Foundation,"Career advancement, Continued learning, Upskill / Skill acquisition, Network",Answer surveys, ,NONE,.,21
College degree,"Las Pinas, Philippines",Philippines,Female,"LinkedIn Learning, W3Schools, Youtube bootcamp",Process Control Systems ,Career shifter,Work city same as residence,Pasay,"250,001 and above",Contract fixed timeline,Mostly work from home/ fully remote,Analytics Engineer,N.A,11 to 30,"Don't know, None","Don't know, None",Don't know,"Don't know, None",Power BI,None,"Don't know, None","Don't know, None",none,"Splunk, Don't know","Excel, Zoom, MS Teams, Google Meet",SQL,"Chatgpt, Gemini",NA,laptop,"No, I just found out now.","No, I just browsed through.","AI Pilipinas, Amagi Academy: Tech Courses and Communities, Analytics Association of the Philippines, Data Analytics Philippines, DEVCON Philippines, FTW Foundation, Manila Women in Machine Learning and Data Science, Power Apps Pilipinas Community, Power BI Philippines UG, Python Philippines, Women Who Code Manila","Career advancement, Continued learning, Decision to shift, Upskill / Skill acquisition, Network",NONE,Assessment Test for Datacamp scholarship,LinkedIn,Multinational employer,34
Master's degree,"Panay, Philippines",abroad,Prefer not to say,"Coursera, Datacamp, edX, Freecodecamp, Google Analytics, Google Cloudskills Boost, IBM Skills Gateway, Kaggle Online course, Khan Academy, LinkedIn Learning, MicrosoftLearn, Pluralsight, Udemy","IT, BPO, and Business Services",Working in Government,_,Lucena City,"85,001 to 95,000",Contract fixed timeline,"Anywhere, as I'm not really being required to go onsite, but I do choose to go onsite during the latter half of my shifts because I wait for my partner to finish her shift - she works also in the same company, but her shift finishes 3hours after mine ends.",QA Engineer,"Management, Data Engineer, Analytics Engineer, Cloud Architect",11 to 30,Random throw away python scripts,"Pandas, Excel","AWS Redshift, Don't know",Dagster,Brandwatch,ACL,Excel,Castor,Microsoft Azure,SAS EG,"Google sheets, Excel, Google Drive, OneDrive, Zoom, Google Meet, Slack","Appscript (Google), SQL",Copilot,"Kaggle Notebooks, Google Cloud Vertex AI Workbench, PythonAnywhere Jupyter Notebook",Laptop and deskptop,"Yes, I am aware of the free resources in the DEP website.",  ,NASA Space Apps Philippines,"Continued learning, Network", ,"If possible, a meetup once every three months. Just a casual meetup to check on one another ",Social Media - I started as an Agent in the company I'm working at and eventually moved up to my current role.,"local employer, au client",16
Master's degree,"San Fernando City, Philippines ",Philippines,Prefer not to say,"AWS Cloud Certification, Coursera, Datacamp, Git Hub Learning Lab, LinkedIn Learning, MicrosoftLearn, Udemy, W3Schools","IT, BPO, and Business Services",Career shifter,Work city different from residence,Long Island but with a satellite office in Davao City,"125,001 to 250,000",Freelance,Mostly work from home/ fully remote,Management,"Data Analyst, mostly dealing with data quality issues, being the middleman between Finance and tech, but no technical skills yet",11 to 30, ,N/A, ,N/A,Power BI,  ,None,.,  ,_,"Google sheets, Excel, Dropbox, Google Drive, OneDrive, Zoom, MS Teams, Google Meet, Discord",Python,Chatgpt,NA,laptop,"Yes, I am aware of the free resources in the DEP website.","No, I just browsed through.",Women Who Code Manila,"Career advancement, Continued learning, Upskill / Skill acquisition","Resource for specific topic, Co-training/ Training, Volunteer to speak in events",  ,LinkedIn,Multinational employer,_
College degree,"Taguig, Philippines",Philippines,Male,Not currently using any digital tools for learning,Own Business/ Consultancy/Freelance,Student/ New grad/ Career Break,NA,None,,  ,NONE,_,na,none, ,.,.,na,NONE,NA,  ,NONE,.,None,"Google sheets, Excel, Google Drive, OneDrive, Zoom, MS Teams, Slack, Discord","Appscript (Google), Javascript, Python, SQL","Chatgpt, Copilot, Gemini, Github copilot",_,laptop,"No, I just found out now.","No, I just browsed through.","Artificial Intelligence Philippines, AWS AI/ML, Data Analytics Philippines",na,"Answer surveys, Coordinate during events, Volunteer for group initiatives",NA,_,NONE,N/A
College degree,Cagayan de Oro City,Philippines,Male,Youtube bootcamp,Not working,Student/ New grad/ Career Break,.,N/A,,.,  ,N/A,none,na,  ,None,na, ,N/A,_,N/A,none,None,NA,"Google sheets, Google Drive, Zoom, MS Teams, Google Meet, Discord","Python, C++, Java",Chatgpt,"Colab Notebooks, PythonAnywhere Jupyter Notebook",laptop,"Yes, I am aware of the free resources in the DEP website.","Yes, I have used at least one resource.","DataScience.PH, DEVCON Philippines, Eskwelabs Data Science Aral-Aral Group, PyData Philippines, Python Philippines","Career advancement, Continued learning, Decision to shift, Upskill / Skill acquisition","Joint initiative with other groups, Mentor, Co-training/ Training, Volunteer for group initiatives, Volunteer to speak in events","More new, up-to-date and interesting facts related posts, vast information dissemination, follow-up posts",none,Currently not working as IT,21
,"Taguig, Philippines",Philippines,Male,"Kaggle Online course, W3Schools","IT, BPO, and Business Services",Professional,Work city same as residence,Taguig,"55,001 to 65,000",Full-time,Hybrid,Analytics Engineer,"Management, Software Engineer, Machine Learning Engineer, AI Engineer, Developer, UI/UX Designer",11 to 30,none,N/A, ,.,Power BI,NA, ,none,Google Cloud Platform (GCP),PostgreSQL,"Google sheets, Excel, Google Drive, Zoom, Google Meet","Javascript, Python, SQL",Chatgpt,"Kaggle Notebooks, Colab Notebooks",laptop,"Yes, I am aware of the free resources in the DEP website.","Yes, I have used at least one resource.","Data Science Philippines, DataSpark - Manila Meetups","Career advancement, Upskill / Skill acquisition, Network","Answer surveys, Coordinate during events", ,LinkedIn,Local employer,  
College degree,"Manila, Philippines",Philippines,Male,Not currently using any digital tools for learning,Education,Student/ New grad/ Career Break,none,_,,NA, ,_,none,.,None,None,NONE,NONE,.,.,.,NONE,na,na,"Excel, Google Drive, OneDrive, MS Teams, Google Meet, Discord","SQL, C++","Chatgpt, Claude",na,laptop,"No, I just found out now.","No, I just browsed through.",Project SPARTA,NA,"Lead a study group, Regularly post content",na,NA,Local employer,40
College degree,"Cebu City, Philippines",Philippines,Male,"AWS Cloud Certification, Udemy",Freelance,Professional,Work city different from residence,Taguig City,"95,001 to 100,000",Full-time,Hybrid,Data Engineer,Software Engineer,11 to 30,.,N/A,Databricks,.,NA,_,NONE,na,"Amazon Web Services (AWS), Databricks",NONE,"Google sheets, Excel, Google Drive, OneDrive, Zoom, MS Teams, Google Meet","Python, SQL","Chatgpt, Jasper AI",_,laptop,"Yes, I am aware of the free resources in the DEP website.","Yes, I have used at least one resource.","[Manila] BIG DATA Tech Group, Project SPARTA, SPARTA PH: Data Engineer","Career advancement, Continued learning, Upskill / Skill acquisition","Answer surveys, Joint initiative with other groups",none,"LinkedIn, Indeed",Local employer,35
College degree,"Malolos, Bulacan",Philippines,Female,"Codecademy, Datacamp",Student,Student/ New grad/ Career Break,none,_,,none,na,none,none,.,na,N/A,na,NONE,"Power BI, SAP Bobj",Postgre,N/A,None,N/A, ,"Google sheets, Excel, OneDrive, MS Teams, Google Meet","DAX (Power BI), Python, SQL, VBA","Chatgpt, Claude, Copilot, Gemini",PythonAnywhere Jupyter Notebook,laptop,"No, I just found out now.","No, I just browsed through.",Data Analytics Philippines,"Career advancement, Continued learning, Upskill / Skill acquisition, Network","Answer surveys, Connect with sponsors, Joint initiative with other groups, Resource for specific topic, Co-training/ Training, Volunteer for group initiatives","As I have experienced so far being a member of the group it contents posted are very informative and open for other to join into so no, I don't any specific suggestions ",na, ,24
College degree,"Victoria, Melbourne",Australia,Male,Linanh-DAP,Not working,IoT Dev,.,Clark,,Freelance,Not working,ESL tutor,NA,6 to 10,"Airbyte, Stitch",Spreadsheet,Databricks,Sql server agent,"Oracle BI, Oracle DV",Postgre,I currently have no knowledge in this,Don't know,"Amazon Web Services (AWS), Google Cloud Platform (GCP), Microsoft Azure, Snowflake, Databricks","Apache Kafka, MongoDB, Oracle Database","Excel, Google Drive, Zoom, Google Meet, Discord","DAX (Power BI), Python, SQL, VBA","Chatgpt, Copilot",IBM Watson Studio,Vm,"No, I just found out now.","Yes, I have used at least one resource.","[Manila] BIG DATA Tech Group, AI Design Philippines, AI Pilipinas, AI Society, AIM-Master of Science in Data Science, DEVCON Community Group, DEVCON Philippines, Programmers,Developers, Python Philippines","Career advancement, Continued learning, Upskill / Skill acquisition, Network","Answer surveys, Joint initiative with other groups",Add an AI-generated response (faq) on social media platform,"Indeed, OnlineJobs.ph",BPO in my previous multinational employer,42
Other - specify,"Manila, Philippines",Philippines,Male,Datacamp,Undergraduate Student,Student/ New grad/ Career Break,.,NA,,N/A, ,none,na,  ,NONE,.,RDBS MySQL/MsSQL,_,.,.,N/A,NONE,Databricks,na,"Google sheets, Excel, Google Drive, Google Meet, Discord",none,"Chatgpt, Gemini",PythonAnywhere Jupyter Notebook,laptop,"Yes, I am aware of the free resources in the DEP website.","No, I just browsed through.",_,  ,Answer surveys,"As of now, none",na,Undergraduate Student,26
College degree,General Santos City,Philippines,Male,"Freecodecamp, W3Schools, Youtube bootcamp",Retail,Student/ New grad/ Career Break, ,NONE,,.,NONE,na,.,  ,N/A,.,NA,none,none,N/A,N/A,.,na,.,"Google sheets, Excel, Google Drive, Zoom, MS Teams, Google Meet, Discord","Python, SQL",Chatgpt,PythonAnywhere Jupyter Notebook,laptop,"No, I just found out now.","No, I just browsed through.","Azure User Group Manila Meetup, Data Analytics Philippines, Data and Analytics Manila, DevOps Philippines, DEVCON Community Group, DEVCON Philippines, Eskwelabs Data Science Aral-Aral Group, Python Philippines",Upskill / Skill acquisition,Answer surveys,N/A,NA,Local employer,27
College degree,"Paranaque, Philippines",Philippines,Male,Youtube bootcamp,"IT, BPO, and Business Services",Career shifter,Work city same as residence,"Los Banos, Laguna, philippines","45,001 to 55, 000",Full-time,100% onsite,Technical Support ,Business Analyst,4 to 5,"Don't know, None","Don't know, None",.,NONE,Power BI,.,  , ,  ,  ,"Google sheets, Excel, Google Drive, MS Teams","Javascript, Python, SQL, Typescript","Chatgpt, Gemini, Github copilot",none,laptop,"No, I just found out now.",  ,"Data Analytics Philippines, Python Philippines","Career advancement, Continued learning, Decision to shift, Upskill / Skill acquisition, Network",., ,LinkedIn,Local employer,29
College degree,"Cavite, Philippines",Philippines,Male,"Datacamp, MicrosoftLearn",Not working,Career shifter,Work city different from residence,Mandaluyong city,"25,001 to 35,000",Full-time,100% onsite,Admin huhu,"Business Analyst, Developer",2 to 3,_,Pandas, ,NONE,  ,NONE, ,.,.,None,"Google sheets, Excel, Google Drive, Zoom, Google Meet",NONE,Chatgpt,"Kaggle Notebooks, Colab Notebooks, IBM Watson Studio",laptop,"Yes, I am aware of the free resources in the DEP website.","No, I just browsed through.",na,"Career advancement, Continued learning, Decision to shift, Upskill / Skill acquisition, Network",Answer surveys,na,"LinkedIn, My network  - people I know",Local employer,NA
Master's degree,Batangas,Philippines,Male,Coursera,Energy,Student/ New grad/ Career Break,NONE,.,,N/A,none,NONE,NA,NA,None,  ,., , ,NA,NA,NA,  ,N/A,"Google sheets, Google Drive, Discord","Python, R, SQL","Chatgpt, Gemini",Colab Notebooks,desktop,"No, I just found out now.","No, I just browsed through.","Data Science Philippines, Philippine Data Scientists Community - eScience, FWDP","Career advancement, Continued learning, Decision to shift, Upskill / Skill acquisition, Network","Answer surveys, Volunteer to speak in events",No.,na,Local employer,27
College degree,"Bulacan, Philippines",Philippines,Male,"Codecademy, Coursera, Datacamp, edX, MicrosoftLearn","IT, BPO, and Business Services",Student/ New grad/ Career Break,_,na,,  ,., , ,NONE,  ,.,NONE,NONE,.,NA,_,NA, ,N/A,"Google sheets, Excel, Google Drive, OneDrive, Trello, Zoom, Google Meet, Discord",None right now.,"Chatgpt, Copilot, Gemini",Replit,laptop,"Yes, I am aware of the free resources in the DEP website.","No, I just browsed through.","Community: SPARTA PH, Data Analytics Philippines, Datasense Philippines, Project SPARTA","Career advancement, Continued learning, Decision to shift, Upskill / Skill acquisition, Network",none,.,  ,Local employer,20
College degree,"Bulacan, Philippines",Philippines,Male,"Datacamp, Google Cloudskills Boost","IT, BPO, and Business Services",Professional,Work city same as residence,"Las Pinas City, Philippines","15,000 and below",Full-time,100% onsite,Planning,Data Analyst,6 to 10,none,N/A,Big Query,_,none,_,N/A,N/A,Don't know,_,"Google sheets, Excel, Dropbox, Google Drive, OneDrive, Zoom, MS Teams, Google Meet, Discord","Appscript (Google), Javascript, Python, SQL","No, I do not use AI currently",none,laptop,"Yes, I am aware of the free resources in the DEP website.","Yes, I have used at least one resource.",Data Science Philippines Discussion Group (Moderated),None,"Answer surveys, Connect with sponsors, Coordinate during events, Volunteer to speak in events",None,LinkedIn,Multinational employer,33
College degree,"Cairo, Egypt",Egypt,Male,Datacamp,Not working,Student/ New grad/ Career Break,_,  ,,NA,na,_,none, ,None,NONE,SQL,"Airflow, Daasity",Microsoft Office ,"Spark, Python",Databand,Castor,Databricks,"Oracle Database, Cloudera","Google sheets, Excel, Google Drive, OneDrive, Zoom, MS Teams, Google Meet, Discord","Python, SQL","No, I do not use AI currently",None,Both desktop and laptop,"Yes, I am aware of the free resources in the DEP website.", ,"Big Data Analytics PH, Data Analytics Philippines, Datasense Philippines, Digital Analytics Philippines, Eskwelabs Data Science Aral-Aral Group, Project SPARTA",Upskill / Skill acquisition,"Answer surveys, Coordinate during events, Joint initiative with other groups, Volunteer for group initiatives",NONE,none,NONE,23
College degree,"Bulacan, Philippines",Philippines,Female,"Codecademy, Udemy",Telecommunication,Student/ New grad/ Career Break, ,_,,na, ,None,NA,., ,NONE,none,  ,_,.,.,.,na,.,"Google sheets, Excel, Google Drive, Trello, MS Teams, Google Meet",Python,"Chatgpt, Claude, Copilot","Kaggle Notebooks, Colab Notebooks",laptop,"Yes, I am aware of the free resources in the DEP website.","Yes, I have used at least one resource.","Data Science Manila, Data Science Philippines, Datasense Philippines, FTW Foundation, Power BI Philippines UG, PyData Philippines","Career advancement, Upskill / Skill acquisition","Answer surveys, Regularly post content",No for now,N/A,Local employer,22
College degree,"Paranaque, Philippines",Philippines,Female,"Cisco, Datacamp, Freecodecamp, Youtube bootcamp",Engineering ,Professional,Work city same as residence,N.A,"15,001 to 25,000",Full-time,Mostly work from home/ fully remote,Data Analyst,"Developer, Academic",4 to 5,Don't know,Don't know,Snowflake,Don't know,"Looker, Power BI, Tableau",Don't know,Don't know,Don't know,"Microsoft Azure, Snowflake",Don't know,"Google sheets, Excel, Dropbox, Google Drive, Trello, Zoom, MS Teams, Google Meet, Slack","DAX (Power BI), SQL, VBA",na,PythonAnywhere Jupyter Notebook,workstation,"Yes, I am aware of the free resources in the DEP website.","Yes, I have used at least one resource.",Python Philippines,Upskill / Skill acquisition,None,NA,"LinkedIn, Jobstreet",Local employer,33
College degree,"Caloocan, Philippines",Philippines,Female,"Freecodecamp, Google Developers, MicrosoftLearn, Real Python, Udemy, Youtube bootcamp, Springboard, Uniathena, and web.dev","IT, BPO, and Business Services",Career shifter,Work city different from residence,Makati,"45,001 to 55, 000",Full-time,Mostly work from home/ fully remote,_,"Software Engineer, Analytics Engineer, Machine Learning Engineer, AI Engineer",4 to 5,_,Power Query,AWS Redshift,Airflow,none,none,_,none,"Amazon Web Services (AWS), Microsoft Azure", ,"Google sheets, Google Drive, Google Meet, Slack, Jira, Confluence",Python,na,"Kaggle Notebooks, Colab Notebooks",desktop,"Yes, I am aware of the free resources in the DEP website.","No, I just browsed through.","Analytics Association of the Philippines, Community: SPARTA PH, DEVCON Community Group, DEVCON Philippines, Project SPARTA","Career advancement, Continued learning, Decision to shift, Upskill / Skill acquisition, Network","Answer surveys, Mentor, Co-training/ Training",_,"LinkedIn, Indeed",Multinational employer,27
